Game,Year,Developer,Publisher,Film
Charlie's Angels,2003,Neko Entertainment,Ubi Soft,Charlie's Angels and Charlie's Angels: Full Throttle
Charlotte's Web,2006,Backbone Entertainment,Sega,Charlotte's Web
The Cheetah Girls,2006,Gorilla Systems,Buena Vista Games,The Cheetah Girls and The Cheetah Girls 2
The Cheetah Girls: Passport to Stardom,2008,Handheld Games,Disney Interactive Studios,The Cheetah Girls: One World
Chicken Little,2005,"Avalanche Software (PS2, GC, Xbox, Microsoft Windows)",Buena Vista Games,Chicken Little
Chicken Run,2000,Blitz Games,Eidos Interactive,Chicken Run
Ch?opaki Nie P?acz?,2005,L'Art,,Boys Don't Cry
Ch? Jik? Y?sai Macross: Ai Oboete Imasu ka,1997,Scarab,Bandai,Macross: Do You Remember Love?
Prince Caspian,2008,Traveller's Tales,Disney Interactive Studios,The Chronicles of Narnia: Prince Caspian
"The Lion, the Witch and the Wardrobe",2005,Traveller's Tales,Buena Vista Games[7],"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
The Voyage of the Dawn Treader,2010,Fox Digital Entertainment,Gameloft,The Chronicles of Narnia: The Voyage of the Dawn Treader
The Chronicles of Riddick: Escape from Butcher Bay,2004,Starbreeze Studios,Vivendi Universal Games[h],The Chronicles of Riddick
The City of Lost Children,1997,Psygnosis,Psygnosis,The City of Lost Children
Clash of the Titans,2010,Game Republic,Bandai,Clash of the Titans
Cliffhanger,1993,Spidersoft,Sony Imagesoft,Cliffhanger
Clive Barker's Nightbreed: The Interactive Movie,1990,Impact Software,Ocean Software,Nightbreed
Cloak & Dagger,1984,Atari,Atari,Cloak & Dagger
Cloudy with a Chance of Meatballs,2009,Ubisoft Shanghai,Ubisoft,Cloudy with a Chance of Meatballs
Cobra,1987,Ocean Software,Ocean Software,Cobra
Computerized Coloring Books,1992,Capstone Software,IntraCorp,"FernGully: The Last Rainforest, Rock-a-Doodle, and Home Alone"
Congo The Movie: The Lost City of Zinj,1996,Jumpin Jack,Sega,Congo
Constantine,2005,Bits Studios,SCi Games,Constantine
Cool World,1992,Twilight,Ocean[8],Cool World
Coraline,2009,"Papaya Studio (PS2, Wii)",D3 Publisher,Coraline
Creed: Rise to Glory,2018,"Survios, Inc.","Survios, Inc.",Rocky franchise
City of Angels,1997,Gray Matter,Acclaim Entertainment,The Crow: City of Angels
Curious George,2006,Monkey Bar Games,Namco,Curious George
Cutthroat Island,1995,Software Creations,Acclaim Entertainment,Cutthroat Island
Cyberwar,1994,Sales Curve Interactive,Interplay Productions,The Lawnmower Man
The Dark Crystal,1983,Sierra On-Line,SierraVenture,The Dark Crystal
Darkman,1991,Ocean Software,Ocean Software,Darkman
Daredevil,2003,Griptonite Games,Encore Software,Daredevil
Days of Thunder,1990,Beam Software (NES),Mindscape Group,Days of Thunder
Demolition Man,1994,Acclaim Entertainment,Acclaim,Demolition Man
Dennis the Menace,1993,Ocean Software,Ocean Software,Dennis the Menace
Despicable Me: The Game,2010,Vicious Cycle Software,D3Publisher,Despicable Me
Dick Tracy,1990,various,various,Dick Tracy
Die Hard Arcade,1996,AM1,Sega,First three films in the Die Hard film series
Die Hard,1991,Pack-In-Video,Activision,Die Hard
Die Hard: Nakatomi Plaza,2002,Piranha Games,Sierra Entertainment,Die Hard
Die Hard Trilogy,1996,Probe Entertainment,Fox Interactive,First three films in the Die Hard film series
DinoCity,1992,Irem,Irem,Adventures in Dinosaur City
Dirty Harry,1990,Gray Matter Inc.,Mindscape[11],Dirty Harry film series
Disney's Activity Center,1994,Disney Software / Disney Interactive,Disney Software / Disney Interactive,various Disney films
Disney's Animated Storybook,1994,"Media Station, Inc. (most entries)",Disney Interactive,various Disney films
Disney's Aladdin,1994,SIMS,Sega,Aladdin
Disney's Beauty and the Beast,1994,Probe Entertainment,Hudson Soft,Beauty and the Beast
Disney's Beauty and the Beast Magical Ballroom,2000,Creative Capers Entertainment,Disney Interactive Studios,Beauty and the Beast franchise
Disney's Beauty and the Beast: A Board Game Adventure,1999,,,Beauty and the Beast franchise
Disney's Brother Bear,2003,KnowWonder Digital Mediaworks (PC),Disney Interactive,Brother Bear
Disney's Chicken Little: Ace in Action,2005,Avalanche Software,Buena Vista Games,Chicken Little
Disney's Herbie: Fully Loaded,2005,Climax Handheld Games,Buena Vista Games,Herbie: Fully Loaded
Disney's Lilo & Stitch,2002,Digital Eclipse,Disney Interactive,Lilo & Stitch
Disney's Pocahontas,1996,Funcom (Mega Drive/Genesis),Mega Drive/Genesis,Pocahontas
Disney's Print Studio,1994,Disney Interactive,Disney Interactive,various Disney films
Disney's Stitch: Experiment 626,2002,High Voltage Software,Sony Computer Entertainment,Lilo & Stitch
Disney's Tarzan,1999,Eurocom,Disney Interactive,Tarzan
The King is Back,2013,Gameshastra[13],Excel Entertainment,Don 2
Double Dragon,1995,Techn?s Japan,Techn?s Japan,Double Dragon
Dr. Seuss: How the Grinch Stole Christmas!,2007,"Black Lantern Studios, Inc.",NA: DSI Games,How the Grinch Stole Christmas
The Bruce Lee Story,1995,Virgin Interactive Entertainment,Virgin Interactive Entertainment (Europe),Dragon: The Bruce Lee Story
Dragonball Evolution,2009,Dimps,Namco Bandai Games[i],Dragonball Evolution
Driven,2001,Crawfish Interactive,BAM! Entertainment,Driven
E.T. the Extra-Terrestrial,1982,"Atari, Inc.","Atari, Inc.",E.T. the Extra-Terrestrial
Elf (video game),2004,Jolliford Management Limited[15],Crave Entertainment,Elf
The Emperor's New Groove,2000,"Argonaut Games (PS, Win)",Sony Computer Entertainment (PS),The Emperor's New Groove
Enchanted,2007,Altron,Disney Interactive,Enchanted
Eragon,2006,Stormfront Studios,Vivendi Games[j],Eragon
The Evil Dead,1984,Palace Virgin Gold,Palace Software,The Evil Dead
Fantasia,1991,Infogrames,Sega,Fantasia
Fantasia: Music Evolved,2014,Harmonix,Disney Interactive,Fantasia and Fantasia 2000
Fantastic Four,2005,7 Studios,Activision,Fantastic Four
Rise of the Silver Surfer,2007,7 Studios (Wii / PS2),2K Games,Fantastic Four: Rise of the Silver Surfer
The Fifth Element,1998,Kalisto Entertainment,JP: Hudson Soft,The Fifth Element
Fight Club,2004,Genuine Games,Vivendi Universal Games[k],Fight Club
Finding Nemo,2003,KnowWonder (PC & Mac),THQ,Finding Nemo
Firefox,1984,,"Atari, Inc.",Firefox
The Flintstones,1994,Ocean Software (SNES),Ocean Software,The Flintstones
Flushed Away,2006,"Monkey Bar Games (PS2, GCN)",D3 Publisher,Flushed Away
Friday the 13th,1985,Domark[16],Domark[17],Friday the 13th franchise
Friday the 13th: The Game,2017,IllFonic,Gun Media,Friday the 13th franchise
From Dusk Till Dawn,2001,GameSquad,Cryo Interactive,From Dusk till Dawn
Frozen: Olaf's Quest,2013,1st Playable Productions,GameMill Entertainment,Frozen
Garfield Gets Real,2008,Zushi Games,Gravity I,Garfield Gets Real
G-Force,2009,Eurocom (PC/PS2/PS3/X360/Wii),Disney Interactive Studios,G-Force
G.I. Joe: The Rise of Cobra,2009,Double Helix Games (PS2/PS3/PSP/X360/Wii),Electronic Arts,G.I. Joe: The Rise of Cobra
Ghajini  The Game,2008,,FXLabs and Geetha Arts,Ghajini
Ghost Rider,2007,Climax Action,2K Games,Ghost Rider
Ghostbusters,1984,Activision,Activision,Ghostbusters (1984)
Ghostbusters,2016,FireForge Games,Activision,Ghostbusters (2016)
Ghostbusters II,1990,Imagineering,Activision,Ghostbusters II
Ghostbusters: The Video Game,2009,"Terminal Reality (Xbox 360, PS3, PC)",Atari,Ghostbusters franchise
The Godfather,1991,U.S. Gold,U.S. Gold,The Godfather film series
The Godfather,2006,EA Redwood Shores,Electronic Arts,The Godfather
The Godfather II,2009,EA Redwood Shores,Electronic Arts,The Godfather Part II
The Golden Compass,2007,Shiny Entertainment,Sega,The Golden Compass
GoldenEye 007,1997,Rare,Nintendo,GoldenEye
GoldenEye: Source,2010,Team GoldenEye: Source,Team GoldenEye: Source,GoldenEye
The Goonies,1985,,Datasoft,The Goonies
Gotcha! The Sport!,1987,Atlus,LJN,Gotcha!
The Great Escape,2003,Pivotal Games,SCi Games (Europe),The Great Escape
