name,year,developer,publisher,film,rank,platform,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales
Shrek 2,2004,Luxoflux (cross-platforming),Activision,Shrek 2,927,PS2,Platform,1.12,0.69,0.03,0.02,1.86
Shrek 2,2004,Luxoflux (cross-platforming),Activision,Shrek 2,2032,GC,Platform,0.73,0.26,0.01,0.03,1.02
Shrek 2,2004,Luxoflux (cross-platforming),Activision,Shrek 2,3670,XB,Platform,0.4,0.13,0.0,0.02,0.55
Shrek SuperSlam,2005,"Shaba Games (PS2, GameCube, Xbox)",Activision,Shrek,4006,PS2,Action,0.24,0.19,0.0,0.06,0.5
Shrek SuperSlam,2005,"Shaba Games (PS2, GameCube, Xbox)",Activision,Shrek,5489,GBA,Action,0.24,0.09,0.0,0.01,0.33
Shrek SuperSlam,2005,"Shaba Games (PS2, GameCube, Xbox)",Activision,Shrek,7300,GC,Action,0.17,0.04,0.0,0.01,0.22
Shrek SuperSlam,2005,"Shaba Games (PS2, GameCube, Xbox)",Activision,Shrek,8067,DS,Action,0.17,0.0,0.0,0.01,0.18
Shrek SuperSlam,2005,"Shaba Games (PS2, GameCube, Xbox)",Activision,Shrek,10971,XB,Action,0.07,0.02,0.0,0.0,0.09
Shrek the Third,2007,"7 Studios, Shaba Games (Xbox 360, PC)",Activision,Shrek the Third,2948,X360,Action,0.54,0.1,0.0,0.06,0.69
Shrek the Third,2007,"7 Studios, Shaba Games (Xbox 360, PC)",Activision,Shrek the Third,4087,PS2,Action,0.4,0.02,0.0,0.07,0.48
Shrek the Third,2007,"7 Studios, Shaba Games (Xbox 360, PC)",Activision,Shrek the Third,5686,PSP,Action,0.08,0.15,0.0,0.09,0.32
Shrek the Third,2007,"7 Studios, Shaba Games (Xbox 360, PC)",Activision,Shrek the Third,6069,Wii,Action,0.26,0.01,0.0,0.02,0.29
Shrek: Ogres & Dronkeys,2007,WayForward Technologies,Activision,Shrek,6184,DS,Simulation,0.26,0.0,0.0,0.02,0.28
Small Soldiers,1998,DreamWorks Interactive,Electronic Arts,Small Soldiers,3307,PS,Platform,0.34,0.23,0.0,0.04,0.61
Space Chimps,2008,"Redtribe (PlayStation 2, Wii and Xbox 360)",Brash Entertainment,Space Chimps,9849,PS2,Platform,0.06,0.05,0.0,0.02,0.12
Space Chimps,2008,"Redtribe (PlayStation 2, Wii and Xbox 360)",Brash Entertainment,Space Chimps,10165,X360,Platform,0.1,0.0,0.0,0.01,0.11
Space Chimps,2008,"Redtribe (PlayStation 2, Wii and Xbox 360)",Brash Entertainment,Space Chimps,11015,Wii,Platform,0.08,0.0,0.0,0.01,0.09
Space Chimps,2008,"Redtribe (PlayStation 2, Wii and Xbox 360)",Brash Entertainment,Space Chimps,12799,DS,Platform,0.05,0.0,0.0,0.0,0.06
Space Jam,1996,Sculptured Software,Acclaim Entertainment,Space Jam,2258,PS,Sports,0.51,0.35,0.0,0.06,0.92
Spider-Man 2,2004,Treyarch (PS2/Xbox/GameCube),Activision,Spider-Man 2,391,PS2,Action,1.75,1.2,0.02,0.43,3.41
Spider-Man 2,2004,Treyarch (PS2/Xbox/GameCube),Activision,Spider-Man 2,1832,XB,Action,0.82,0.26,0.0,0.04,1.12
Spider-Man 2,2004,Treyarch (PS2/Xbox/GameCube),Activision,Spider-Man 2,1961,GBA,Action,0.76,0.28,0.0,0.02,1.06
Spider-Man 2,2004,Treyarch (PS2/Xbox/GameCube),Activision,Spider-Man 2,2455,GC,Action,0.65,0.17,0.0,0.02,0.84
Spider-Man 2,2004,Treyarch (PS2/Xbox/GameCube),Activision,Spider-Man 2,3986,DS,Action,0.41,0.02,0.03,0.04,0.5
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3,2314,PS2,Platform,0.74,0.03,0.01,0.12,0.9
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3,2982,PS3,Platform,0.26,0.29,0.02,0.12,0.68
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3,3509,X360,Platform,0.49,0.04,0.0,0.04,0.57
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3,4132,Wii,Platform,0.42,0.02,0.0,0.04,0.48
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3,4185,DS,Platform,0.41,0.02,0.0,0.04,0.47
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3,5862,PSP,Platform,0.01,0.23,0.0,0.06,0.3
Spider-Man 3,2007,Treyarch[y],Activision,Spider-Man 3,15305,PC,Platform,0.02,0.0,0.0,0.0,0.02
The SpongeBob SquarePants Movie,2004,Heavy Iron Studios,THQ,The SpongeBob SquarePants Movie,991,PS2,Platform,1.06,0.54,0.0,0.16,1.76
The SpongeBob SquarePants Movie,2004,Heavy Iron Studios,THQ,The SpongeBob SquarePants Movie,1300,GBA,Platform,1.02,0.38,0.0,0.06,1.46
The SpongeBob SquarePants Movie,2004,Heavy Iron Studios,THQ,The SpongeBob SquarePants Movie,2200,GC,Platform,0.73,0.19,0.0,0.03,0.94
The SpongeBob SquarePants Movie,2004,Heavy Iron Studios,THQ,The SpongeBob SquarePants Movie,3694,XB,Platform,0.4,0.12,0.0,0.02,0.54
Superman Returns,2006,EA Tiburon,Electronic Arts,Superman Returns,6421,X360,Action,0.23,0.02,0.0,0.02,0.27
Superman Returns,2006,EA Tiburon,Electronic Arts,Superman Returns,11729,DS,Action,0.07,0.0,0.0,0.01,0.08
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up,6074,PS2,Sports,0.14,0.11,0.0,0.04,0.29
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up,6170,DS,Sports,0.26,0.0,0.0,0.02,0.28
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up,8401,Wii,Sports,0.15,0.0,0.0,0.01,0.17
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up,10108,PSP,Sports,0.02,0.06,0.0,0.03,0.11
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up,10564,X360,Sports,0.09,0.0,0.0,0.01,0.1
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up,13795,PS3,Sports,0.03,0.0,0.0,0.0,0.04
Surf's Up,2007,Ubisoft Montreal / Ubisoft Quebec / Totally Games (PS2) (uncredited),Ubisoft,Surf's Up,16295,GC,Sports,0.01,0.0,0.0,0.0,0.01
Thor: God of Thunder,2011,"Liquid Entertainment (PS3, Xbox 360)",Sega,Thor,8489,Wii,Action,0.11,0.04,0.0,0.01,0.16
Thor: God of Thunder,2011,"Liquid Entertainment (PS3, Xbox 360)",Sega,Thor,8806,PS3,Action,0.07,0.06,0.0,0.02,0.15
Thor: God of Thunder,2011,"Liquid Entertainment (PS3, Xbox 360)",Sega,Thor,8954,X360,Action,0.09,0.04,0.0,0.01,0.15
Thor: God of Thunder,2011,"Liquid Entertainment (PS3, Xbox 360)",Sega,Thor,9594,DS,Action,0.09,0.03,0.0,0.01,0.13
Thor: God of Thunder,2011,"Liquid Entertainment (PS3, Xbox 360)",Sega,Thor,10739,3DS,Action,0.06,0.03,0.0,0.01,0.1
TMNT,2007,Ubisoft Montreal,Ubisoft,TMNT,3655,X360,Action,0.47,0.04,0.0,0.04,0.55
TMNT,2007,Ubisoft Montreal,Ubisoft,TMNT,4819,Wii,Action,0.34,0.03,0.0,0.03,0.4
TMNT,2007,Ubisoft Montreal,Ubisoft,TMNT,9962,PSP,Action,0.1,0.01,0.0,0.01,0.12
TMNT,2007,Ubisoft Montreal,Ubisoft,TMNT,13364,DS,Action,0.03,0.01,0.0,0.0,0.05
Toy Story 3: The Video Game,2010,"Avalanche Software (PS3, Wii, Xbox 360, Mac OS X, PC)",Disney Interactive Studios,Toy Story 3,773,DS,Action,0.93,0.97,0.02,0.21,2.12
Toy Story 3: The Video Game,2010,"Avalanche Software (PS3, Wii, Xbox 360, Mac OS X, PC)",Disney Interactive Studios,Toy Story 3,1369,Wii,Action,0.64,0.63,0.0,0.14,1.41
Toy Story 3: The Video Game,2010,"Avalanche Software (PS3, Wii, Xbox 360, Mac OS X, PC)",Disney Interactive Studios,Toy Story 3,1848,PS3,Action,0.51,0.42,0.0,0.17,1.11
Toy Story 3: The Video Game,2010,"Avalanche Software (PS3, Wii, Xbox 360, Mac OS X, PC)",Disney Interactive Studios,Toy Story 3,2652,X360,Action,0.41,0.29,0.0,0.07,0.78
Toy Story 3: The Video Game,2010,"Avalanche Software (PS3, Wii, Xbox 360, Mac OS X, PC)",Disney Interactive Studios,Toy Story 3,3078,PSP,Action,0.27,0.25,0.0,0.14,0.66
Toy Story Racer,2001,Traveller's Tales,Activision,Toy Story franchise,8938,PS,Racing,0.08,0.06,0.0,0.01,0.15
Up,2009,"Asobo Studio (PS2, PSP, PC)",THQ,Up,3107,DS,Action,0.31,0.28,0.0,0.07,0.65
Up,2009,"Asobo Studio (PS2, PSP, PC)",THQ,Up,3514,Wii,Action,0.23,0.28,0.0,0.06,0.57
Up,2009,"Asobo Studio (PS2, PSP, PC)",THQ,Up,4140,PS2,Action,0.19,0.05,0.0,0.24,0.48
Up,2009,"Asobo Studio (PS2, PSP, PC)",THQ,Up,4721,PSP,Action,0.24,0.1,0.0,0.07,0.41
Up,2009,"Asobo Studio (PS2, PSP, PC)",THQ,Up,5982,X360,Action,0.2,0.07,0.0,0.03,0.29
Up,2009,"Asobo Studio (PS2, PSP, PC)",THQ,Up,6654,PS3,Action,0.15,0.07,0.0,0.03,0.25
Wanted: Weapons of Fate,2009,Grin,Warner Bros. Interactive Entertainment,Wanted,5139,X360,Shooter,0.17,0.15,0.0,0.04,0.37
Wanted: Weapons of Fate,2009,Grin,Warner Bros. Interactive Entertainment,Wanted,5937,PS3,Shooter,0.14,0.1,0.01,0.05,0.3
Where the Wild Things Are,2009,Griptonite Games,Warner Bros. Interactive Entertainment,Where the Wild Things Are,9007,DS,Platform,0.13,0.0,0.0,0.01,0.14
Where the Wild Things Are,2009,Griptonite Games,Warner Bros. Interactive Entertainment,Where the Wild Things Are,9670,Wii,Platform,0.11,0.0,0.0,0.01,0.12
Where the Wild Things Are,2009,Griptonite Games,Warner Bros. Interactive Entertainment,Where the Wild Things Are,10138,X360,Platform,0.1,0.0,0.0,0.01,0.11
Where the Wild Things Are,2009,Griptonite Games,Warner Bros. Interactive Entertainment,Where the Wild Things Are,10280,PS3,Platform,0.09,0.01,0.0,0.01,0.11
