name,year,developer,publisher,film,rank,platform,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales
The Incredible Hulk,2008,Edge of Reality,Sega,The Incredible Hulk,5038,PS2,Action,0.32,0.01,0.0,0.05,0.38
The Incredible Hulk,2008,Edge of Reality,Sega,The Incredible Hulk,5721,Wii,Action,0.28,0.01,0.0,0.02,0.31
The Incredible Hulk,2008,Edge of Reality,Sega,The Incredible Hulk,6366,PS3,Action,0.22,0.03,0.0,0.03,0.27
The Incredible Hulk,2008,Edge of Reality,Sega,The Incredible Hulk,6386,X360,Action,0.22,0.03,0.0,0.02,0.27
The Incredible Hulk,2008,Edge of Reality,Sega,The Incredible Hulk,6807,DS,Action,0.22,0.0,0.0,0.02,0.24
The Incredibles,2004,Heavy Iron Studios,THQ,The Incredibles,668,PS2,Action,0.96,1.08,0.04,0.3,2.37
The Incredibles,2004,Heavy Iron Studios,THQ,The Incredibles,819,GBA,Action,1.15,0.77,0.04,0.1,2.06
The Incredibles,2004,Heavy Iron Studios,THQ,The Incredibles,2463,GC,Action,0.65,0.17,0.0,0.02,0.84
Independence Day,1997,Radical Entertainment,Fox Interactive,Independence Day,4440,PS,Shooter,0.25,0.17,0.0,0.03,0.44
Iron Man,2008,"Secret Level (X360, PS3)",Sega,Iron Man,2980,PS3,Action,0.32,0.25,0.0,0.11,0.68
Iron Man,2008,"Secret Level (X360, PS3)",Sega,Iron Man,3202,PSP,Action,0.46,0.09,0.0,0.09,0.63
Iron Man,2008,"Secret Level (X360, PS3)",Sega,Iron Man,3397,Wii,Action,0.31,0.22,0.0,0.06,0.59
Iron Man,2008,"Secret Level (X360, PS3)",Sega,Iron Man,3517,X360,Action,0.27,0.24,0.0,0.06,0.57
Iron Man,2008,"Secret Level (X360, PS3)",Sega,Iron Man,3690,PS2,Action,0.36,0.0,0.0,0.19,0.54
Iron Man,2008,"Secret Level (X360, PS3)",Sega,Iron Man,3874,DS,Action,0.35,0.12,0.0,0.05,0.52
