Game,Year,Developer,Publisher,Film
Ghostbusters,,FireForgeGames,Activision,Ghostbusters
GhostbustersII,,Imagineering,Activision,GhostbustersII
GhostbustersTheVideoGame,,TerminalRealityXboxPSPC,Atari,Ghostbustersfranchise
TheGodfather,,USGold,USGold,TheGodfatherfilmseries
TheGodfather,,EARedwoodShores,ElectronicArts,TheGodfather
TheGodfatherII,,EARedwoodShores,ElectronicArts,TheGodfatherPartII
TheGoldenCompass,,ShinyEntertainment,Sega,TheGoldenCompass
GoldenEye,,Rare,Nintendo,GoldenEye
GoldenEyeSource,,TeamGoldenEyeSource,TeamGoldenEyeSource,GoldenEye
TheGoonies,,nan,Datasoft,TheGoonies
GotchaTheSport,,Atlus,LJN,Gotcha
TheGreatEscape,,PivotalGames,SCiGamesEurope,TheGreatEscape
GreenLanternRiseoftheManhunters,,DoubleHelixGames,WarnerBrosInteractiveEntertainment,GreenLantern
Gremlins,,Atari,Atari,Gremlins
TheNewBatch,,SunsoftRiedelSoftwareProductionsMotivetimeTopoSoft,SunsoftHiTechExpressionsEliteSystemsTopoSoft,GremlinsTheNewBatch
TheGrinch,,ArtificialMindMovementDCPS,Konami,HowtheGrinchStoleChristmas
Halloween,,nan,WizardVideo,Halloweenfilmseries
HappyFeet,,ArtificialMindandMovement,MidwayGames,HappyFeet
HarryPotterandthePhilosophersStone,,GriptoniteGamesGBAGBC,EAGames,HarryPotterandthePhilosophersStone
HarryPotterandtheChamberofSecrets,,EurocomGBAGCPSXboxl,EAGames,HarryPotterandtheChamberofSecrets
HarryPotterandthePrisonerofAzkaban,,GriptoniteGamesGBA,EAGames,HarryPotterandthePrisonerofAzkaban
HarryPotterandtheGobletofFire,,EAUK,ElectronicArts,HarryPotterandtheGobletofFire
HarryPotterandtheOrderofthePhoenix,,EAUK,ElectronicArts,HarryPotterandtheOrderofthePhoenix
HarryPotterandtheHalfBloodPrince,,EABrightLight,ElectronicArts,HarryPotterandtheHalfBloodPrince
,,EABrightLight,ElectronicArts,
,,EABrightLight,ElectronicArts,
DisneysHercules,,EurocomPCPlayStation,VirginInteractivePlayStationNTSC,Hercules
HighSchoolMusicalMakintheCut,,AM,DisneyInteractiveStudios,HighSchoolMusical
HighSchoolMusicalWorkThisOut,,ArtificialMindandMovement,DisneyInteractiveStudios,HighSchoolMusical
SeniorYear,,GriptoniteGames,DisneyInteractiveStudios,HighSchoolMusicalSeniorYear
Highlander,,CanvasRoyGibsonSimonButlerStevenCainMartinCalvert,OceanSoftwareLtd,Highlander
HomeAlone,,BethesdaSoftworksNES,ToyHeadquarters,HomeAlone
HomeAlone,,Imagineering,ToyHeadquarters,HomeAloneLostinNewYork
Hook,,various,various,Hook
HowtoTrainYourDragon,,EtrangesLibellules,Activision,HowtoTrainYourDragon
HowardtheDuck,,AlternativeSoftware,Activision,HowardtheDuck
HudsonHawk,,SpecialFXLtd,OceanSoftware,HudsonHawk
Hulk,,RadicalEntertainment,UniversalInteractive,Hulk
TheHunchbackofNotreDameTopsyTurvyGames,,DisneyInteractive,nan,TheHunchbackofNotreDame
TheHuntforRedOctober,,ImagesSoftwareLtd,GrandslamInteractiveLtd,TheHuntforRedOctober
IceAge,,ArtificialMindandMovement,UbiSoft,IceAge
TheMeltdown,,EurocomPSGCXboxWiiMicrosoftWindows,VivendiUniversalGamesm,IceAgeTheMeltdown
DawnoftheDinosaurs,,EurocomArtificialMindMovementDS,Activision,IceAgeDawnoftheDinosaurs
,,BehaviourInteractive,Activision,IceAgeContinentalDrift
IceNine,,TorusGames,BAMEntertainment,TheRecruit
TheIncredibleHulk,,EdgeofReality,Sega,TheIncredibleHulk
TheIncredibles,,HeavyIronStudios,THQ,TheIncredibles
TheIncrediblesRiseoftheUnderminer,,HeavyIronStudiosPSXboxGC,THQSega,TheIncredibles
IndependenceDay,,RadicalEntertainment,FoxInteractive,IndependenceDay
IndianaJonesandtheLastCrusade,,SoftwareCreations,Taito,IndianaJonesandtheLastCrusade
IndianaJonesandtheLastCrusadeTheActionGame,,TiertexDesignStudios,USGold,IndianaJonesandtheLastCrusade
IndianaJonesandtheLastCrusadeTheGraphicAdventure,,LucasfilmGames,LucasfilmGames,IndianaJonesandtheLastCrusade
IndianaJonesandtheTempleofDoom,,AtariGames,AtariGames,IndianaJonesandtheTempleofDoom
IndianaJonesGreatestAdventures,,FactorLucasArts,JVCLucasArts,RaidersoftheLostArkIndianaJonesandtheTempleofDoomandIndianaJonesandtheLastCrusade
IronMan,,SecretLevelXPS,Sega,IronMan
IronMan,,SegaStudiosSanFranciscoXboxPlayStationNintendoDS,Sega,IronMan
IronManTheOfficialGame,,Gameloft,Gameloft,IronMan
IronSkyInvasion,,RealityPump,TopWareInteractive,IronSky
TheItalianJob,,Pixelogic,PlayStation,TheItalianJob
TheItalianJob,,ClimaxBrighton,EidosInteractive,TheItalianJob
JamesBond,,ParkerBrothers,ParkerBrothers,DiamondsareForeverTheSpyWhoLovedMeMoonrakerandForYourEyesOnly
JamesBondFromRussiawithLove,,EARedwoodShores,ElectronicArts,FromRussiawithLove
JamesBondGoldfinger,,Angelsoft,Mindscape,JamesBondfilmseries
Jaws,,AtlusWestoneBitEntertainmentuncredited,LJN,JawsTheRevenge
JohnWickHex,,BithellGames,GoodShepherdEntertainment,JohnWickfranchise
JourneytotheCenteroftheEarth,,HumanSoft,THQ,JourneytotheCenteroftheEarth
JudgeDredd,,ProbeSoftware,AcclaimEntertainment,JudgeDredd
GriffinsStory,,RedtribeXboxCollisionStudiosPSWii,BrashEntertainment,Jumper
TheJungleBook,,Eurocom,VirginInteractiveEntertainment,TheJungleBook
JurassicPark,,SegaAM,Sega,JurassicPark
JurassicParkTheGame,,TelltaleGames,TelltaleGames,JurassicPark
JurassicParkIII,,Konami,Konami,JurassicParkIII
JurassicParkIIIDangerZone,,KnowledgeAdventure,KnowledgeAdventure,JurassicParkIII
JurassicParkIIIDinoDefender,,KnowledgeAdventure,KnowledgeAdventure,JurassicParkIII
JurassicParkIIIIslandAttack,,Mobile,Konami,JurassicParkIII
JurassicParkIIIParkBuilder,,Konami,Konami,JurassicParkIII
JurassicParkIIITheDNAFactor,,KonamiComputerEntertainmentHawaii,Konami,JurassicParkIII
JurassicParkInteractive,,StudioDO,UniversalInteractiveStudios,JurassicPark
TheKarateKid,,Atlus,LJN,TheKarateKidandTheKarateKidPartII
KingArthur,,KromeStudios,Konami,KingArthur
PeterJacksonsKingKong,,UbisoftPictures,Ubisoft,KingKong
Kirikou,,trangesLibellulesPS,Wanadoo,KirikouandtheSorceress
KickAssTheGame,,FrozenCodebase,FrozenCodebaseiOS,KickAss
KickAssTheGame,,FreedomFactoryStudios,UIGEntertainment,KickAss
Krull,,AtariInc,AtariInc,Krull
KungFuPanda,,LuxofluxPlayStationXbox,Activision,KungFuPanda
KungFuPanda,,GriptoniteGames,THQ,KungFuPanda
KungFuPandaWorld,,nan,DreamWorksAnimation,KungFuPandafranchise
KungFuPandaLegendaryWarriors,,ArtificialMindandMovement,Activision,KungFuPandafranchise
KungFuPandaShowdownofLegendaryLegends,,ViciousCycleSoftware,LittleOrbit,KungFuPandafranchise
KungFuMaster,,Iremarcade,IremJPNarcade,WheelsonMeals
LabyrinthTheComputerGame,,LucasfilmGames,Activision,Labyrinth
ListofTheLandBeforeTimevideogames,,nan,nan,TheLandBeforeTimefilmfranchise
LandoftheDeadRoadtoFiddlersGreen,,BrainboxGames,GrooveGames,LandoftheDead
LastActionHero,,NES,SonyImagesoft,LastActionHero
